,Porosity (%)
1894,-0.7422237302832576
1895.9,-0.7518100228809453
1897.5,-0.7581431103436029
1898.7,-0.7622699303119789
1900.9,-0.7678476903677237
1901.5,-0.7691835010069583
1904.3,-0.7762430573136508
1907.1,-0.7820305046039443
1909.9,-0.7861061021262054
1912.7,-0.7909621008741102
1915.5,-0.7956826083831904
1918.3,-0.7992262751222647
1921.1,-0.8025754574700932
1923.8,-0.8049244540898772
1926.6,-0.8057248752993147
1929.4,-0.8059577065578692
1932.2,-0.8058017142537617
1935,-0.8050583390222904
1937.7,-0.8038348639548067
1940.5,-0.8029356784728007
1943.3,-0.8018555431218375
1946,-0.8005245020419661
1948.8,-0.7989516499657918
1951.6,-0.796924051382381
1954.3,-0.7944917881872595
1957.1,-0.7912641848672403
1959.8,-0.7876783717056328
1962.6,-0.7845262593510304
1965.3,-0.7814558135716757
1968.1,-0.7783739201712613
1970.8,-0.7753233919263379
1973.6,-0.7717843810903883
1976.3,-0.7675076352088659
1979,-0.7620803698353201
1981.8,-0.7554847672938211
1984.5,-0.7469335504310685
1987.2,-0.7348562829686982
1990,-0.7193034372253867
1992.7,-0.7023707522572051
1995.4,-0.6880123076433844
1998.1,-0.6820012823899064
2000.8,-0.6863475815014879
2003.5,-0.6989578180981684
2006.2,-0.7162390929473011
Porosity (%),1.0
